iter	RMSE
0	404.1801229
1	403.1936362
2	402.5963438
3	401.9055553
4	401.0441743
5	400.4718544
6	399.7368952
7	399.4166579
8	398.5661517
9	398.129418
10	397.3802526
11	397.0857317
12	396.9588164
13	396.5272311
14	396.1423333
15	395.6348221
16	394.7370611
17	394.1404968
18	393.5776953
19	392.9823936
20	392.3847702
21	391.8636295
22	391.2699019
23	390.6832159
24	389.8260026
25	389.3196913
26	388.7501598
27	388.2410727
28	387.6140191
29	386.8558803
30	386.4358743
31	385.7767106
32	385.5458884
33	384.9531777
34	384.4376437
35	383.8394077
36	383.3216561
37	382.8059784
38	382.3448557
39	381.6506444
40	381.1773591
41	380.4977207
42	379.8721003
43	379.3310976
44	378.8772275
45	378.4873308
46	377.9008202
47	376.975789
48	376.2162819
49	375.4330496
50	375.0319966
51	374.2745887
52	373.4176808
53	372.714732
54	372.2076492
55	371.7991063
56	371.3071699
57	370.560381
58	370.2545485
59	369.4115617
60	368.9023698
61	368.3620269
62	367.8180523
63	367.5587836
64	366.8933421
65	366.2957907
66	365.8325175
67	365.2964662
68	364.7833943
69	364.2594946
70	363.7132326
71	363.0447594
72	362.6436106
73	361.8723325
74	361.2270905
75	360.7204796
76	360.3449682
77	359.9471169
78	359.1536138
79	358.6401467
80	358.0883706
81	357.5841325
82	357.150171
83	356.693995
84	356.2616189
85	355.6445567
86	355.2764607
87	354.6246531
88	354.2252221
89	353.5757381
90	353.3520508
91	352.7029341
92	352.3792518
93	352.0201695
94	351.7263103
95	351.0792866
96	350.4640517
97	349.9335929
98	349.1894373
99	348.9005106
100	348.3747944
101	348.0627371
102	347.6603483
103	347.135463
104	346.5968151
105	346.2117325
106	345.7353057
107	345.3834027
108	344.992279
109	344.4721262
110	343.8108472
111	343.1729895
112	342.6325462
113	342.0098411
114	341.7470234
115	341.4758661
116	341.0125399
117	340.3193378
118	339.9457598
119	339.5351089
120	338.988586
121	338.6693761
122	337.8710902
123	337.56091
124	337.3984302
125	337.1852957
126	336.7853222
127	336.3869477
128	335.8249011
129	335.7011567
130	335.3656394
131	335.0967695
132	334.8174697
133	334.4128109
134	333.8598937
135	333.4328011
136	333.0845717
137	332.7884056
138	332.3233633
139	332.0067673
140	331.6940013
141	331.2055712
142	330.384322
143	330.0230013
144	329.6073122
145	328.9350896
146	328.7197523
147	328.2351084
148	327.8416916
149	327.4355317
150	327.0525651
151	326.6583122
152	326.2048694
153	325.7636556
154	325.1360968
155	324.6485718
156	324.3388249
157	324.2916379
158	323.8341624
159	323.3142976
160	322.8691954
161	322.4129433
162	321.9427757
163	321.6805052
164	321.2357417
165	320.7678443
166	320.1800519
167	319.66958
168	319.1143106
169	318.4812051
170	317.9959344
171	317.5886974
172	317.3230912
173	316.9462548
174	316.5786184
175	316.1404271
176	315.9064645
177	315.5112667
178	315.1811927
179	314.7853624
180	314.2851602
181	313.6404093
182	313.2972316
183	312.639671
184	312.3149176
185	311.883121
186	311.5045634
187	311.0261945
188	310.7508289
189	310.1888932
190	309.9482069
191	309.5154064
192	309.0623455
193	308.6798127
194	308.3343334
195	307.8678738
196	307.5904351
197	307.1368655
198	306.4968708
199	306.1840245
200	305.829411
201	305.1848064
202	304.9592379
203	304.5669969
204	304.1542055
205	303.5689109
206	303.1567981
207	302.629374
208	302.2686595
209	301.5983493
210	301.1845634
211	300.9494475
212	300.6330124
213	300.0321004
214	299.5602973
215	298.9671367
216	298.6628782
217	297.9891098
218	297.5897766
219	296.7714458
220	295.9059396
221	295.5722802
222	295.1966167
223	294.7700168
224	294.5556038
225	294.2336002
226	293.5696344
227	293.1303504
228	292.752103
229	292.0749903
230	291.455572
231	290.7395182
232	290.0496092
233	289.5857987
234	289.2985977
235	289.1218814
236	288.8109811
237	288.371225
238	287.7999061
239	287.557203
240	286.9894894
241	286.4081526
242	286.0566551
243	285.3159345
244	284.9952466
245	284.9124412
246	284.7344436
247	284.1327704
248	283.7594078
249	283.3921421
250	282.9594551
251	282.6131701
252	282.1553152
253	281.7682928
254	281.1565608
255	280.699113
256	280.3176843
257	280.0443353
258	279.7602516
259	279.3832609
260	278.9397011
261	278.3431649
262	278.1483815
263	277.4377772
264	277.1002265
265	276.485541
266	276.2023669
267	275.7491931
268	275.324111
269	274.8600983
270	274.7398817
271	274.3254536
272	273.7384686
273	273.4730662
274	273.3992435
275	272.8662081
276	272.4164247
277	271.8297479
278	271.0760665
279	270.6534367
280	269.9734862
281	269.5945041
282	269.0792693
283	268.6243967
284	268.2287042
285	267.9618059
286	267.5368018
287	267.1940554
288	266.6966229
289	266.2707081
290	265.7652775
291	265.4390508
292	265.154861
293	264.7906456
294	264.4596102
295	264.1961727
296	263.5300889
297	262.8223239
298	262.5041029
299	262.1902652
300	261.7629737
301	261.3540936
302	261.0330375
303	260.6513361
304	260.1491438
305	259.584532
306	259.0546845
307	258.7341949
308	258.4670335
309	257.9721955
310	257.7413644
311	257.4225966
312	257.1833308
313	256.7272723
314	256.2809416
315	255.9753531
316	255.6233929
317	255.2267483
318	254.9219781
319	254.6174581
320	254.4008359
321	254.0428038
322	253.6024537
323	253.4465991
324	252.9208171
325	252.8160865
326	252.3356405
327	251.6801923
328	251.2991227
329	250.7936416
330	250.4997245
331	250.1749812
332	249.6063859
333	249.345619
334	248.856116
335	248.6941553
336	248.2870296
337	247.73996
338	247.6336749
339	247.2707007
340	246.7404621
341	246.2184524
342	246.1259291
343	245.7453591
344	245.5828517
345	245.3329075
346	245.2795177
347	245.00888
348	244.3627166
349	244.0367882
350	243.5917823
351	243.0881083
352	242.6482346
353	242.4427777
354	242.1414603
355	241.7552973
356	241.1925672
357	240.9504579
358	240.3864961
359	240.1966426
360	239.5420837
361	239.0728184
362	238.7758349
363	238.2396789
364	238.0374587
365	237.8567247
366	237.2626766
367	236.9561716
368	236.6670714
369	236.4298734
370	235.8446001
371	235.6652409
372	235.3926629
373	235.0613668
374	234.7802905
375	234.3364497
376	234.0692376
377	233.5565346
378	233.2806625
379	232.99559
380	232.6326898
381	232.2780512
382	231.8582473
383	231.4526345
384	231.1156392
385	230.7699218
386	230.4423663
387	229.8425645
388	229.3871976
389	229.0454224
390	228.6506173
391	228.1208571
392	227.6741023
393	227.4029078
394	227.0571072
395	226.6810437
396	226.2215406
397	225.9614206
398	225.8071083
399	225.5986655
400	225.3397266
401	225.0915364
402	224.8214573
403	224.5801584
404	224.1552856
405	223.9963726
406	223.5521324
407	223.5064138
408	222.9302075
409	222.6396878
410	222.5784378
411	222.3662456
412	222.0101212
413	221.7582649
414	221.3364575
415	221.0040328
416	220.7831953
417	220.4756089
418	220.1897241
419	219.7330125
420	219.39334
421	219.0562825
422	218.9106756
423	218.4534282
424	218.0617364
425	217.641814
426	217.1078756
427	216.8283072
428	216.6301951
429	216.4033084
430	216.1204716
431	215.6784228
432	215.475199
433	215.2275745
434	215.0125528
435	214.4909879
436	214.202182
437	213.8499889
438	213.3708898
439	213.1967649
440	212.97996
441	212.7280458
442	212.4316634
443	212.2164994
444	211.8568766
445	211.3530533
446	210.8318765
447	210.6001164
448	210.3222921
449	210.0517829
450	209.6856837
451	209.3221945
452	208.9341672
453	208.7167277
454	208.3620465
455	208.0463823
456	207.7822267
457	207.2715909
458	206.8339972
459	206.363469
460	205.9085588
461	205.6105744
462	205.3500424
463	205.0701529
464	204.8670092
465	204.674939
466	204.5216435
467	204.2527913
468	203.9342336
469	203.6028326
470	203.3517251
471	203.2916757
472	203.1025183
473	202.9516945
474	202.5742601
475	202.1319032
476	201.8606489
477	201.3910975
478	201.1707553
479	200.7080842
480	200.1285022
481	199.9233188
482	199.5469426
483	199.1415559
484	198.7144033
485	198.4333996
486	198.1523047
487	197.8289432
488	197.5457757
489	197.0689603
490	196.8863074
491	196.707933
492	196.4615472
493	196.0161545
494	195.6832923
495	195.3673742
496	195.0762505
497	194.7525307
498	194.3735349
499	194.255707
500	194.0333735
501	193.9035162
502	193.4468991
503	192.9999864
504	192.6036868
505	192.2588631
506	192.0552815
507	191.868321
508	191.4799733
509	191.0003055
510	190.7694055
511	190.4124157
512	190.2272495
513	190.0844267
514	189.6486341
515	189.2979014
516	188.8366844
517	188.5200998
518	188.2120455
519	188.0208248
520	187.76486
521	187.638736
522	187.3821767
523	187.0715735
524	186.7008464
525	186.452745
526	186.2161888
527	185.8805166
528	185.5311069
529	185.2606944
530	184.9328967
531	184.6412746
532	184.5016383
533	184.0031104
534	183.8755257
535	183.6689245
536	183.275879
537	183.0095453
538	182.8840487
539	182.6031034
540	182.1277161
541	181.7721706
542	181.4152901
543	181.0991954
544	180.9944072
545	180.7116676
546	180.3559339
547	180.1922821
548	179.8168314
549	179.4416655
550	179.0119547
551	178.7908657
552	178.431487
553	178.0765853
554	177.8016784
555	177.5294466
556	177.3964341
557	177.2659195
558	176.9995512
559	176.6451794
560	176.5834671
561	176.3100641
562	176.0247977
563	175.8346539
564	175.4958709
565	175.1469139
566	174.9232251
567	174.7254572
568	174.3736426
569	174.0825407
570	173.8227429
571	173.4025463
572	173.0333944
573	172.7538008
574	172.554609
575	172.1852401
576	171.8851821
577	171.5049865
578	171.2834589
579	171.0708528
580	170.9846656
581	170.7752996
582	170.5177781
583	170.1481553
584	169.9329429
585	169.657911
586	169.5199339
587	169.1529243
588	169.00974
589	168.8003656
590	168.5447841
591	168.4465091
592	168.2870915
593	168.0128253
594	167.7714369
595	167.688536
596	167.3887963
597	167.0683725
598	166.8598864
599	166.7592438
600	166.4879587
601	166.2707633
602	165.9408193
603	165.4499899
604	165.1880228
605	164.9203859
606	164.6802963
607	164.4779451
608	164.2339007
609	164.0270174
610	163.7396418
611	163.6202787
612	163.3419803
613	163.0925447
614	162.8096242
615	162.6335102
616	162.4462725
617	162.0516247
618	161.8859875
619	161.5729757
620	161.1934983
621	160.8859996
622	160.6320055
623	160.4523657
624	160.115932
625	159.6860791
626	159.4875896
627	159.2571591
628	158.9216304
629	158.8453561
630	158.5330779
631	158.3215826
632	158.1497864
633	157.9096988
634	157.691631
635	157.5262496
636	157.3675802
637	157.0813895
638	156.9490517
639	156.7564687
640	156.4528322
641	156.1460512
642	155.8963748
643	155.7712094
644	155.556723
645	155.4042446
646	155.3278644
647	155.1176574
648	155.0031401
649	154.7961875
650	154.4691156
651	154.2366367
652	154.0856052
653	153.9245662
654	153.824746
655	153.6219016
656	153.5454492
657	153.2056243
658	153.1219373
659	153.0311729
660	152.7826163
661	152.572039
662	152.3144244
663	152.0022171
664	151.6878166
665	151.337728
666	151.1338487
667	150.9599471
668	150.7932165
669	150.5144147
670	150.407951
671	150.0632775
672	149.8560042
673	149.6773388
674	149.5976842
675	149.3724544
676	149.2378677
677	148.8629457
678	148.5647602
679	148.392368
680	148.1106762
681	147.9948639
682	147.8098939
683	147.529308
684	147.32717
685	147.1247281
686	146.947543
687	146.7029588
688	146.5241463
689	146.3213648
690	146.2887758
691	146.1481469
692	145.954312
693	145.7809398
694	145.6271114
695	145.2717671
696	145.0756108
697	144.9022465
698	144.6869064
699	144.5533527
700	144.4534619
701	144.3162481
702	144.1672827
703	144.060408
704	143.8216466
705	143.5525928
706	143.4276491
707	143.1749094
708	142.9079827
709	142.6756416
710	142.3944648
711	142.2404356
712	142.0072281
713	141.9278846
714	141.6900565
715	141.4860972
716	141.2489751
717	141.0839132
718	140.9002154
719	140.6751203
720	140.5202267
721	140.272677
722	140.1191614
723	139.8308651
724	139.630919
725	139.3877165
726	139.15277
727	138.9045312
728	138.5773772
729	138.4678798
730	138.1419671
731	137.8954025
732	137.7410767
733	137.5739091
734	137.3609114
735	137.2170963
736	137.114599
737	136.8487055
738	136.5768163
739	136.4522646
740	136.273575
741	136.042589
742	135.8212147
743	135.6538445
744	135.5867958
745	135.3774404
746	135.2092069
747	134.8922796
748	134.7160179
749	134.5728412
750	134.4929055
751	134.2868189
752	134.1164223
753	133.7081365
754	133.5597852
755	133.3299892
756	133.135409
757	132.8998517
758	132.8090878
759	132.7284997
760	132.5709652
761	132.4004741
762	132.0672779
763	131.924878
764	131.7525628
765	131.6433745
766	131.4386635
767	131.3403695
768	131.1509672
769	130.9504339
770	130.7866645
771	130.5601726
772	130.4899735
773	130.3829942
774	130.2316281
775	129.9522686
776	129.8405696
777	129.6764244
778	129.554766
779	129.4208982
780	129.295708
781	129.101394
782	129.0473039
783	128.8790036
784	128.8105605
785	128.5226215
786	128.2389173
787	128.066108
788	127.8297612
789	127.7419661
790	127.4762409
791	127.2640705
792	127.1456668
793	126.9463354
794	126.8543138
795	126.7604746
796	126.510094
797	126.4113631
798	126.3082885
799	126.1182537
800	125.9196663
801	125.7765876
802	125.6486389
803	125.4674441
804	125.2601334
805	125.1924428
806	124.9820821
807	124.8023701
808	124.4101013
809	124.2437358
810	124.0601908
811	123.9362629
812	123.770836
813	123.659726
814	123.5822163
815	123.4487075
816	123.2825108
817	123.2150191
818	123.1163473
819	122.946718
820	122.8031043
821	122.6842938
822	122.4777781
823	122.4611822
824	122.3080704
825	122.2181515
826	122.0470158
827	121.8634169
828	121.6659774
829	121.5523289
830	121.4772063
831	121.3176155
832	121.1284669
833	121.0525103
834	120.9435961
835	120.8789987
836	120.6240871
837	120.5381631
838	120.4122891
839	120.2534985
840	120.1689998
841	119.8914647
842	119.8132951
843	119.6703552
844	119.4576829
845	119.3301086
846	119.1205987
847	118.9404421
848	118.7368856
849	118.6586865
850	118.401552
851	118.201808
852	117.9417873
853	117.7948865
854	117.7097429
855	117.3686016
856	117.2461295
857	117.07107
858	116.8462279
859	116.6477105
860	116.5377005
861	116.3868126
862	116.129927
863	116.0180036
864	115.8891475
865	115.7462099
866	115.7243507
867	115.4957951
868	115.4168364
869	115.2329561
