iter	Passed	Remaining
0	1	1681
1	3	1581
2	4	1515
3	5	1469
4	7	1431
5	8	1411
6	10	1431
7	11	1400
8	12	1385
9	13	1369
10	15	1362
11	16	1346
12	17	1297
13	18	1292
14	19	1281
15	20	1279
16	22	1279
17	23	1281
18	24	1286
19	26	1308
20	28	1309
21	29	1302
22	30	1297
23	32	1301
24	33	1296
25	34	1291
26	35	1295
27	37	1288
28	38	1285
29	39	1281
30	41	1288
31	42	1287
32	44	1293
33	45	1297
34	48	1341
35	50	1346
36	51	1348
37	53	1344
38	54	1339
39	56	1346
40	57	1347
41	59	1346
42	60	1344
43	61	1341
44	62	1336
45	64	1332
46	65	1327
47	66	1326
48	68	1321
49	69	1318
50	70	1314
51	72	1319
52	74	1322
53	75	1322
54	77	1324
55	78	1323
56	79	1321
57	81	1317
58	82	1315
59	83	1311
60	85	1308
61	86	1305
62	88	1310
63	89	1310
64	91	1310
65	92	1306
66	93	1304
67	94	1301
68	96	1298
69	97	1294
70	98	1293
71	100	1289
72	101	1287
73	102	1285
74	104	1285
75	105	1281
76	106	1280
77	108	1277
78	109	1275
79	110	1272
80	111	1269
81	113	1267
82	114	1266
83	115	1263
84	117	1263
85	118	1263
86	120	1261
87	121	1259
88	122	1256
89	124	1255
90	125	1252
91	126	1250
92	128	1249
93	129	1246
94	130	1244
95	131	1241
96	133	1240
97	134	1241
98	136	1239
99	137	1237
100	138	1234
101	140	1234
102	141	1231
103	142	1228
104	143	1227
105	145	1224
106	146	1223
107	147	1221
108	149	1218
109	151	1221
110	152	1219
111	153	1217
112	154	1215
113	156	1213
114	157	1212
115	159	1213
116	160	1212
117	162	1212
118	163	1209
119	164	1207
120	166	1207
121	167	1207
122	169	1205
123	170	1205
124	172	1204
125	173	1202
126	174	1201
127	175	1198
128	177	1198
129	178	1195
130	180	1194
131	181	1193
132	182	1192
133	184	1190
134	185	1188
135	186	1186
136	188	1184
137	189	1182
138	190	1180
139	191	1178
140	193	1176
141	194	1175
142	195	1173
143	197	1173
144	198	1172
145	200	1171
146	201	1170
147	203	1168
148	204	1167
149	205	1164
150	207	1164
151	208	1161
152	209	1160
153	210	1158
154	212	1157
155	213	1156
156	215	1154
157	215	1148
158	216	1147
159	218	1145
160	219	1143
161	220	1142
162	222	1140
163	223	1139
164	224	1137
165	226	1136
166	227	1134
167	229	1135
168	230	1133
169	231	1131
170	232	1129
171	234	1127
172	235	1125
173	236	1124
174	238	1122
175	239	1120
176	240	1118
177	241	1116
178	243	1116
179	244	1115
180	246	1114
181	247	1112
182	248	1110
183	250	1110
184	251	1108
185	252	1107
186	254	1105
187	255	1104
188	257	1102
189	258	1101
190	259	1100
191	261	1101
192	262	1099
193	264	1098
194	265	1096
195	266	1094
196	268	1093
197	269	1091
198	270	1090
199	272	1088
200	273	1086
201	274	1085
202	276	1084
203	277	1083
204	279	1082
205	280	1081
206	281	1079
207	283	1079
208	284	1077
209	285	1075
210	287	1074
211	288	1072
212	289	1070
213	291	1070
214	292	1069
215	294	1067
216	295	1065
217	296	1064
218	298	1062
219	299	1061
220	300	1059
221	302	1058
222	303	1056
223	304	1054
224	305	1053
225	307	1053
226	309	1052
227	310	1050
228	311	1048
229	312	1046
230	313	1045
231	315	1043
232	316	1042
233	317	1040
234	319	1038
235	320	1037
236	321	1035
237	323	1035
238	325	1034
239	326	1034
240	328	1033
241	329	1031
242	330	1030
243	331	1028
244	333	1026
245	334	1024
246	335	1023
247	336	1021
248	338	1020
249	340	1020
250	341	1018
251	342	1016
252	343	1015
253	345	1013
254	346	1012
255	347	1010
256	349	1009
257	350	1007
